actor,country,director,genre,mv_url,name,rating,releasedate
"['约翰·特拉沃尔塔', '休·杰克曼', '哈莉·贝瑞', '唐·钱德尔', '维尼·琼斯']","['美国', '澳大利亚']",['多米尼克·塞纳'],"['动作', '惊悚', '犯罪']",https://movie.douban.com/subject/1304608/,剑鱼行动 Swordfish,7.4,2001-06-08
"['加里·奥德曼', '克里斯汀·斯科特·托马斯', '莉莉·詹姆斯', '本·门德尔森', '斯蒂芬·迪兰', '萨缪尔·韦斯特', '汉娜·斯蒂尔', '罗纳德·皮卡普', '乔丹·沃勒', '理查德·拉姆斯登', '安娜·伯内特', '尼古拉斯·琼斯', '查理·帕尔默·罗斯韦尔', '布赖恩·佩蒂福', '菲利普·马丁·布朗', '安杰莉克·琼', '希尔顿·麦克雷', '詹姆斯·伊莱斯', '杰瑞米·查亚德', '马汀·麦格', '迈克尔·海登', '迈克尔·博特']","['英国', '美国']",['乔·赖特'],"['剧情', '传记', '历史']",https://movie.douban.com/subject/26761416/,至暗时刻 Darkest Hour,8.5,2017-12-01
"['刘亚仁', '史蒂文·元', '全钟瑞', '金秀京', '崔承浩', '玉子妍']",['韩国'],['李沧东'],"['剧情', '悬疑']",https://movie.douban.com/subject/26842702/,燃烧 버닝,7.9,2018-05-16
"['河正宇', '车太贤', '朱智勋', '金香起', '金东旭', '艺秀晶', '李政宰', '吴达洙', '林元熙', '都暻秀', '张光', '郑海钧', '金荷娜', '金海淑', '金秀安', '马东锡']",['韩国'],['金容华'],"['剧情', '奇幻']",https://movie.douban.com/subject/11584016/,与神同行 신과함께-죄와 벌,7.7,2017-12-20
"['庄益增', '陈竹昇', '戴立忍', '张少怀', '陈以文', '纳豆', '丁国琳', '李永丰', '朱约信', '雷婕熙', '林美秀', '小亮哥', '游安顺', '梁赫群', '脱线', '郑宇彤', '鲁文学']",['台湾'],['黄信尧'],"['剧情', '喜剧']",https://movie.douban.com/subject/27059130/,大佛普拉斯,8.6,2017-06-29
"['周杰伦', '黄秋生', '铃木杏', '杜汶泽', '钟镇涛', '陈冠希', '余文乐', '陈小春', '津村和幸', '阿部力', '田中千绘', '刘畊宏']","['香港', '日本']","['刘伟强', '麦兆辉']","['剧情', '动作']",https://movie.douban.com/subject/1329562/,头文字D 頭文字D,7.0,2005-06-23
"['沈腾', '宋芸桦', '张一鸣', '张晨光', '常远', '魏翔', '赵自强', '九孔', '李立群', '王成思', '徐冬冬', '艾伦', '杨皓宇', '黄才伦', '王力宏', '包贝尔', '郎咸平', '张绍刚', '杨文哲', '陶亮', '王赞', '黄杨', '刘鉴', '杨沅翰', '林炳宝', '骆佳', '陈昊明', '臧一人']",['中国大陆'],"['闫非', '彭大魔']",['喜剧'],https://movie.douban.com/subject/27605698/,西虹市首富,6.7,2018-07-27
"['瑞恩·雷诺兹', '乔什·布洛林', '莫蕾娜·巴卡林', '朱利安·迪尼森', '莎姬·贝兹', 'T·J·米勒', '莱斯利·格塞斯', '卡兰·索尼', '布里安娜·希德布兰德', '杰克·凯西', '埃迪·马森', '忽那汐里', '斯蒂芬·卡皮契奇', '兰德尔·瑞德', '尼古莱·维切尔', '赛尔·哈里斯', '罗伯·德兰尼', '刘易斯·谭', '比尔·斯卡斯加德', '泰瑞·克鲁斯', '布拉德·皮特', '罗伯特·梅耶', '艾伦·图代克', '马特·达蒙', '海莉·塞尔斯', '麦克·多普德', '卢克·勒斯勒尔', '亨特·狄龙', '大卫·雷奇', '山姆·哈格雷夫', '尼古拉斯·霍尔特']",['美国'],['大卫·雷奇'],"['喜剧', '动作', '科幻', '冒险']",https://movie.douban.com/subject/26588308/,死侍2 Deadpool 2,7.5,2018-05-18
"['雷佳音', '佟丽娅', '张衣', '于和伟', '王正佳', '陶虹', '李念', '李光洁', '杨玏', '范明', '徐峥', '杨迪', '方龄', '陈昊']",['中国大陆'],['苏伦'],"['喜剧', '爱情', '奇幻']",https://movie.douban.com/subject/27133303/,超时空同居,6.9,2018-05-18
"['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉', '丽贝卡·弗格森', '西恩·哈里斯', '安吉拉·贝塞特', '凡妮莎·柯比', '米歇尔·莫纳汉', '韦斯·本特利', '费雷德里克·施密特', '亚历克·鲍德温', '梁杨', '克里斯托弗·琼勒', '沃尔夫·布利策', '拉斐尔·琼勒', '安德鲁·卡扎纳夫·平', '克里斯多夫·德·舒瓦西', '拉裴尔·德普雷', '让·巴普蒂斯特·菲永', 'Max Geller', '奥利维尔·体班德', '亚历山大·普尔', '阿利克斯·贝纳泽什', '乔伊·安沙', '维利贝·托皮奇', '格雷厄姆·福克斯', '卡斯珀·菲利普森', '菲恩·乔利', '鲁斯·贝恩', '奈杰尔·艾伦']",['美国'],['克里斯托弗·麦奎里'],"['动作', '惊悚', '冒险']",https://movie.douban.com/subject/26336252/,碟中谍6：全面瓦解 Mission: Impossible - Fallout,8.1,2018-08-31
"['茱蒂蒙·琼查容苏因', '查侬·散顶腾古', '依莎亚·贺苏汪', '披纳若·苏潘平佑', '塔内·瓦拉库努娄', '莎琳雷特·托马斯', '伊戈·米基塔斯', '帕辛·宽萨塔彭', '萨哈贾克·波斯安吉特', '坎嘉娜·维耐潘尼', '育塔彭·瓦拉努科洛楚', '诺帕瓦特·里基特王']",['泰国'],['纳塔吾·彭皮里亚'],"['剧情', '悬疑', '犯罪']",https://movie.douban.com/subject/27024903/,天才枪手 ฉลาดเกมส์โกง,8.2,2017-10-13
"['徐峥', '王传君', '周一围', '谭卓', '章宇', '杨新鸣', '王佳佳', '王砚辉', '贾晨飞', '龚蓓苾', '宁浩', '李乃文', '岳小军', '苇青', '富冠铭', '巴拉特·巴蒂', '喜利图', '张海艳', '朱耕佑']",['中国大陆'],['文牧野'],"['剧情', '喜剧']",https://movie.douban.com/subject/26752088/,我不是药神,9.0,2018-07-05
"['宋洋', '姜武', '袁文康', '谭卓', '王梓尘', '安琥', '伊天锴']",['中国大陆'],['忻钰坤'],"['剧情', '悬疑', '犯罪']",https://movie.douban.com/subject/26647117/,暴裂无声,8.2,2018-04-04
"['惠英红', '吴可熙', '文淇', '柯佳嬿', '陈莎莉', '丁强', '刘尚谦', '林志儒', '王月', '温贞菱', '王伟六', '陈珮骐', '尹昭德', '大久保麻梨子', '巫书维', '颜毓麟', '刘越逖', '傅子纯', '陈武康', '施名帅', '秀兰玛雅', '应蔚民', '李铨']",['台湾'],['杨雅喆'],['剧情'],https://movie.douban.com/subject/27113517/,血观音 血觀音,8.2,2017-10-15
"['弗兰西斯·麦克多蒙德', '伍迪·哈里森', '山姆·洛克威尔', '艾比·考尼什', '卢卡斯·赫奇斯', '彼特·丁拉基', '约翰·浩克斯', '卡赖伯·兰德里·琼斯', '凯瑟琳·纽顿', '凯瑞·康顿', '泽利科·伊万内克', '萨玛拉·维文', '克拉克·彼得斯', '尼克·西塞', '阿曼达·沃伦', '玛拉雅·瑞沃拉·德鲁', '布兰登·萨克斯顿', '迈克尔·艾伦·米利甘']","['美国', '英国']",['马丁·麦克唐纳'],"['剧情', '犯罪']",https://movie.douban.com/subject/26611804/,"三块广告牌 Three Billboards Outside Ebbing, Missouri",8.7,2018-03-02
"['克里斯·帕拉特', '布莱丝·达拉斯·霍华德', '贾斯蒂斯·史密斯', '伊莎贝拉·瑟蒙', '拉菲·斯波', '托比·琼斯', '泰德·拉文', '詹姆斯·克伦威尔', '黄荣亮', '丹妮艾拉·皮内达', '杰拉丁·卓别林', '杰夫·高布伦', '卡米尔·雷米泽斯基', '丹尼尔·斯蒂森', '皮特·杰森', '迈克尔·帕帕约翰', '罗伯特·埃姆斯', '罗南·萨莫尔斯', '麦克斯·贝克', '丹尼尔·厄根', '戴维·奥拉瓦莱·阿印德']","['美国', '西班牙']",['胡安·安东尼奥·巴亚纳'],"['动作', '科幻', '冒险']",https://movie.douban.com/subject/26416062/,侏罗纪世界2 Jurassic World: Fallen Kingdom,6.8,2018-06-15
"['梅丽尔·斯特里普', '汤姆·汉克斯', '莎拉·保罗森', '鲍勃·奥登科克', '崔西·莱茨', '布莱德利·惠特福德', '布鲁斯·格林伍德', '马修·瑞斯', '爱丽森·布里', '凯莉·库恩', '杰西·普莱蒙', '大卫·克罗斯', '扎克·伍兹', '帕特·希利', '约翰·鲁', '里克·霍姆斯', '菲利普·卡斯诺夫', '杰茜·缪勒', '斯塔克·桑德斯', '迈克尔·西里尔·克赖顿', '威尔·丹顿', '迪尔德丽·罗夫乔', '迈克尔·斯图巴']","['美国', '英国']",['史蒂文·斯皮尔伯格'],"['剧情', '惊悚', '传记', '历史']",https://movie.douban.com/subject/26990609/,华盛顿邮报 The Post,8.2,2017-12-22
"['张译', '黄景瑜', '海清', '杜江', '蒋璐霞', '尹昉', '王强', '郭家豪', '王雨甜', '麦亨利', '张涵予', '王彦霖']","['中国大陆', '香港']",['林超贤'],"['动作', '战争']",https://movie.douban.com/subject/26861685/,红海行动,8.3,2018-02-16
"['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特', '森崎温', '赵家正', '西蒙·佩吉', 'T·J·米勒', '汉娜·乔恩-卡门', '拉尔夫·尹爱森', '苏珊·林奇', '克莱尔·希金斯', '劳伦斯·斯佩尔曼', '佩蒂塔·维克斯', '艾萨克·安德鲁斯']",['美国'],['史蒂文·斯皮尔伯格'],"['动作', '科幻', '冒险']",https://movie.douban.com/subject/4920389/,头号玩家 Ready Player One,8.7,2018-03-30
"['小罗伯特·唐尼', '克里斯·海姆斯沃斯', '克里斯·埃文斯', '马克·鲁弗洛', '乔什·布洛林', '佐伊·索尔达娜', '本尼迪克特·康伯巴奇', '克里斯·帕拉特', '汤姆·赫兰德', '伊丽莎白·奥尔森', '保罗·贝坦尼', '斯嘉丽·约翰逊', '查德维克·博斯曼', '塞巴斯蒂安·斯坦', '唐·钱德尔', '汤姆·希德勒斯顿', '安东尼·麦凯', '本尼迪克特·王', '戴夫·巴蒂斯塔', '布莱德利·库珀', '范·迪塞尔', '凯伦·吉兰', '利蒂希娅·赖特', '庞·克莱门捷夫', '凯莉·库恩', '汤姆-沃恩-劳勒', '海登·瓦尔希', '迈克尔·詹姆斯·肖', '泰瑞·诺塔里', '本尼西奥·德尔·托罗', '彼特·丁拉基', '罗斯·马昆德', '丹娜·奎里拉', '温斯顿·杜克', '弗洛伦丝·卡松巴', '塞缪尔·杰克逊', '雅各布·巴特朗', '斯坦·李']",['美国'],"['安东尼·罗素', '乔·罗素']","['动作', '科幻', '奇幻', '冒险']",https://movie.douban.com/subject/24773958/,复仇者联盟3：无限战争 Avengers: Infinity War,8.2,2018-05-11
"['段奕宏', '余男', '王景春', '成泰燊', '余皑磊', '郑楚一', '陆彭']",['中国大陆'],['常征'],"['动作', '犯罪']",https://movie.douban.com/subject/26897427/,引爆者,6.4,2017-11-24
"['葛优', '章子怡', '浅野忠信', '杜淳', '钟欣潼', '倪大红', '赵宝刚', '袁泉', '闫妮', '韩庚', '霍思燕', '杜江', '王传君', '钟汉良', '马晓伟', '吕行', '乔笑笑', '刘天阳', '赵海涛', '叶禾', '周敬峰', '杨露璐', '松峰莉璃', '松浦敬之', '平田康之', '张晓龙', '郭晓小', '小黑']","['中国大陆', '香港']",['程耳'],"['剧情', '动作', '悬疑']",https://movie.douban.com/subject/24751763/,罗曼蒂克消亡史,7.7,2016-12-16
"['黄轩', '染谷将太', '张雨绮', '秦昊', '张榕容', '刘昊然', '欧豪', '张鲁一', '阿部宽', '田雨', '刘佩琦', '辛柏青', '成泰燊', '李淳', '秦怡', '松坂庆子', '张天爱', '周中和', '火野正平', '夏楠', '陈旭', '王迪', '宋运成', '刘国华']","['中国大陆', '日本']",['陈凯歌'],"['剧情', '悬疑', '奇幻', '古装']",https://movie.douban.com/subject/5350027/,妖猫传,6.9,2017-12-22
"['广末凉子', '小林薰', '岸本加世子', '石田百合子', '伊藤英明', '金子贤']",['日本'],['泷田洋二郎'],"['剧情', '奇幻']",https://movie.douban.com/subject/1305084/,秘密,7.8,1999-09-25
"['马特·帕斯摩尔', '托宾·贝尔', '考乐姆·吉斯·雷尼', '汉娜·艾米莉·安德森', '科勒·班尼特', '劳拉·范德沃特', '保罗·布朗斯坦', '曼德拉·范·皮布尔斯', '布列塔尼·艾伦', '乔赛亚·布莱克', '爱德华·拉特尔', '迈克·布瓦韦尔']","['美国', '加拿大']","['迈克尔·斯派瑞', '彼得·斯派瑞']","['悬疑', '惊悚', '恐怖']",https://movie.douban.com/subject/25788426/,电锯惊魂8：竖锯 Jigsaw,6.8,2017-10-27
"['比尔·斯卡斯加德', '杰顿·李博赫', '杰里米·雷·泰勒', '索菲娅·莉莉丝', '菲恩·伍法德', '乔森·雅各布', '杰克·迪伦·格雷泽', '瓦耶特·奥莱夫', '杰克逊·罗伯特·斯科特', '尼古拉斯·汉密尔顿', '杰克·辛', '洛根·汤普森', '欧文·泰格', '斯蒂夫·博加尔特', '斯图尔特·休斯', '杰弗里·庞塞特', '皮普·德怀尔', '莫莉·阿特金森', '史蒂文·威廉姆斯', '伊丽莎白·桑德斯', '梅根·查彭提尔', '安东尼·尤埃西', '哈维尔·博泰特', '伊莎贝尔·内利瑟', '尼尔·克容']","['美国', '加拿大']",['安德斯·穆斯切蒂'],"['剧情', '恐怖', '儿童']",https://movie.douban.com/subject/3604148/,小丑回魂 It,7.3,2017-08-29
"['黄渤', '孙红雷', '黄磊', '罗志祥', '王迅', '张艺兴']",['中国大陆'],['严敏'],['真人秀'],https://movie.douban.com/subject/26830087/,极限挑战 第三季,8.2,2017-07-09
"['黄渤', '孙红雷', '黄磊', '罗志祥', '张艺兴', '王迅']",['中国大陆'],"['任静', '严敏']",['真人秀'],https://movie.douban.com/subject/26615572/,极限挑战 第二季,9.2,2016-04-17
"['李帝勋', '赵震雄', '金惠秀', '张铉诚', '金元海', '郑涵妃']",['韩国'],['金元锡'],"['剧情', '科幻', '悬疑', '犯罪']",https://movie.douban.com/subject/26310143/,信号 시그널,9.2,2016-01-22
"['陈道明', '陶泽如', '丁嘉丽', '董勇', '陶红', '袁立', '刘斌', '高明', '温海涛', '梁静', '严敏裘', '孔琳', '沙景昌', '黄翀', '马捷', '公磊', '刘天池', '许多', '杜玉明', '周建鹏', '王伟光', '俞立文', '雷明', '黄渤', '华子', '马伊琍', '李诚儒', '马跃', '曲晓璐', '何川', '须乾', '张磊']",['中国大陆'],['管虎'],"['剧情', '悬疑']",https://movie.douban.com/subject/2216379/,黑洞,8.3,2001-09-17
"['艾伦', '马丽', '沈腾', '田雨', '宋阳', '薛皓文', '常远', '黄才伦', '王智']",['中国大陆'],"['宋阳', '张吃鱼']","['喜剧', '奇幻']",https://movie.douban.com/subject/27038183/,羞羞的铁拳,6.9,2017-09-30
"['瑞恩·高斯林', '哈里森·福特', '安娜·德·阿玛斯', '西尔维娅·侯克斯', '罗宾·怀特', '杰瑞德·莱托', '戴夫·巴蒂斯塔', '麦肯兹·戴维斯', '卡拉·朱里', '爱德华·詹姆斯·奥莫斯', '巴克德·阿巴蒂', '大卫·达斯马齐连', '西娅姆·阿巴斯', '连尼·詹姆斯', '马克·阿诺德', '肖恩·杨']","['美国', '加拿大', '英国']",['丹尼斯·维伦纽瓦'],"['剧情', '科幻', '惊悚']",https://movie.douban.com/subject/10512661/,银翼杀手2049 Blade Runner 2049,8.3,2017-10-27
"['秦昊', '邓家佳', '姚橹', '代旭', '王真儿', '宁理', '荆浩', '林鹏', '袁满', '要武', '程雍', '张澍', '李俊霆', '刘戈滨', '赵晖', '李泽', '刘洋', '赵梓淇', '王海军', '郭海鹏', '蓝骁', '刘唯伟', '张成成', '杨皓轩', '郑超', '赵杨', '饶国锋', '王雪洋', '赵彦', '吕行']",['中国大陆'],['吕行'],"['悬疑', '犯罪']",https://movie.douban.com/subject/26930540/,无证之罪,8.2,2017-09-06
